sentence,label,intent,intent_few_shot_random,intent_few_shot_specific_filled
 It's been 30 days my product haven't received,DELAY_IN_DELIVERY,DELAY_IN_DELIVERY,DELAY_IN_DELIVERY,DELAY_IN_DELIVERY
It's been so many days,DELAY_IN_DELIVERY,DELAY_IN_DELIVERY,DELAY_IN_DELIVERY,DELAY_IN_DELIVERY
It's already one month,DELAY_IN_DELIVERY,DELAY_IN_DELIVERY,DELAY_IN_DELIVERY,DELAY_IN_DELIVERY
Delivery is delayed,DELAY_IN_DELIVERY,DELAY_IN_DELIVERY,DELAY_IN_DELIVERY,DELAY_IN_DELIVERY
It's too late to get delivered,DELAY_IN_DELIVERY,DELAY_IN_DELIVERY,DELAY_IN_DELIVERY,DELAY_IN_DELIVERY
Order Status,ORDER_STATUS,ORDER_STATUS,ORDER_STATUS,ORDER_STATUS
What is my order status?,ORDER_STATUS,ORDER_STATUS,ORDER_STATUS,ORDER_STATUS
Order related,ORDER_STATUS,ORDER_STATUS,ORDER_STATUS,ORDER_STATUS
Status of my order,ORDER_STATUS,ORDER_STATUS,ORDER_STATUS,ORDER_STATUS
What about my order,ORDER_STATUS,ORDER_STATUS,ORDER_STATUS,ORDER_STATUS
My order Number,ORDER_STATUS,ORDER_STATUS,ORDER_STATUS,ORDER_STATUS
Where is my order,ORDER_STATUS,ORDER_STATUS,ORDER_STATUS,ORDER_STATUS
Order #,ORDER_STATUS,ORDER_STATUS,ORDER_STATUS,ORDER_STATUS
Track order,ORDER_STATUS,ORDER_STATUS,ORDER_STATUS,ORDER_STATUS
I want updates of my order,ORDER_STATUS,ORDER_STATUS,ORDER_STATUS,ORDER_STATUS
 I need my order status,ORDER_STATUS,ORDER_STATUS,ORDER_STATUS,ORDER_STATUS
Status of my order,ORDER_STATUS,ORDER_STATUS,ORDER_STATUS,ORDER_STATUS
State of this order,ORDER_STATUS,ORDER_STATUS,ORDER_STATUS,ORDER_STATUS
Order status,ORDER_STATUS,ORDER_STATUS,ORDER_STATUS,ORDER_STATUS
Present status,ORDER_STATUS,ORDER_STATUS,ORDER_STATUS,ORDER_STATUS
What is the status?,ORDER_STATUS,ORDER_STATUS,ORDER_STATUS,ORDER_STATUS
Current state of my order,ORDER_STATUS,ORDER_STATUS,ORDER_STATUS,ORDER_STATUS
What is the order status?,ORDER_STATUS,ORDER_STATUS,ORDER_STATUS,ORDER_STATUS
Where is my product,ORDER_STATUS,ORDER_STATUS,ORDER_STATUS,ORDER_STATUS
When will the order be delivered to me?,ORDER_STATUS,DELAY_IN_DELIVERY,ORDER_STATUS,ORDER_STATUS
When can we expect,ORDER_STATUS,DELAY_IN_DELIVERY,DELAY_IN_DELIVERY,ORDER_STATUS
Need my money back,RETURN_EXCHANGE,RETURN_EXCHANGE,RETURN_EXCHANGE,RETURN_EXCHANGE
I want refund,RETURN_EXCHANGE,RETURN_EXCHANGE,RETURN_EXCHANGE,RETURN_EXCHANGE
Refund,RETURN_EXCHANGE,RETURN_EXCHANGE,RETURN_EXCHANGE,RETURN_EXCHANGE
Not happy with the product please help me to return,RETURN_EXCHANGE,RETURN_EXCHANGE,RETURN_EXCHANGE,RETURN_EXCHANGE
Help me with exchange process,RETURN_EXCHANGE,RETURN_EXCHANGE,RETURN_EXCHANGE,RETURN_EXCHANGE
How do I return it,RETURN_EXCHANGE,RETURN_EXCHANGE,RETURN_EXCHANGE,RETURN_EXCHANGE
I want to return my mattress,RETURN_EXCHANGE,RETURN_EXCHANGE,RETURN_EXCHANGE,RETURN_EXCHANGE
Exchange,RETURN_EXCHANGE,RETURN_EXCHANGE,RETURN_EXCHANGE,100_NIGHT_TRIAL_OFFER
Looking to exchange,RETURN_EXCHANGE,RETURN_EXCHANGE,RETURN_EXCHANGE,100_NIGHT_TRIAL_OFFER
How can I replace the mattress.,RETURN_EXCHANGE,RETURN_EXCHANGE,RETURN_EXCHANGE,RETURN_EXCHANGE
How do I return It,RETURN_EXCHANGE,RETURN_EXCHANGE,RETURN_EXCHANGE,RETURN_EXCHANGE
Return,RETURN_EXCHANGE,RETURN_EXCHANGE,RETURN_EXCHANGE,RETURN_EXCHANGE
Return my product,RETURN_EXCHANGE,RETURN_EXCHANGE,RETURN_EXCHANGE,RETURN_EXCHANGE
Replacement policy,RETURN_EXCHANGE,RETURN_EXCHANGE,RETURN_EXCHANGE,RETURN_EXCHANGE
I want to cancel my order,CANCEL_ORDER,CANCEL_ORDER,CANCEL_ORDER,CANCEL_ORDER
How can I cancel my order,CANCEL_ORDER,CANCEL_ORDER,CANCEL_ORDER,CANCEL_ORDER
Cancel order,CANCEL_ORDER,CANCEL_ORDER,CANCEL_ORDER,CANCEL_ORDER
Cancellation status,CANCEL_ORDER,CANCEL_ORDER,CANCEL_ORDER,CANCEL_ORDER
I want cancel my order,CANCEL_ORDER,CANCEL_ORDER,CANCEL_ORDER,CANCEL_ORDER
Cancel the order,CANCEL_ORDER,CANCEL_ORDER,CANCEL_ORDER,CANCEL_ORDER
Cancel my order,CANCEL_ORDER,CANCEL_ORDER,CANCEL_ORDER,CANCEL_ORDER
Need to cancel my order,CANCEL_ORDER,CANCEL_ORDER,CANCEL_ORDER,CANCEL_ORDER
Process of cancelling order,CANCEL_ORDER,CANCEL_ORDER,CANCEL_ORDER,CANCEL_ORDER
Can I cancel my order here,CANCEL_ORDER,CANCEL_ORDER,CANCEL_ORDER,CANCEL_ORDER
Can I get pillows?,PILLOWS,PILLOWS,PILLOWS,PILLOWS
Do you sell pillows?,PILLOWS,PILLOWS,PILLOWS,PILLOWS
Pillows,PILLOWS,PILLOWS,PILLOWS,PILLOWS
I want to buy pillows,PILLOWS,PILLOWS,PILLOWS,PILLOWS
Are Pillows available,PILLOWS,PILLOWS,PILLOWS,PILLOWS
Need pair of Pillows,PILLOWS,PILLOWS,PILLOWS,PILLOWS
Can I buy pillows from here,PILLOWS,PILLOWS,PILLOWS,PILLOWS
Do you have cushions,PILLOWS,PILLOWS,PILLOWS,PILLOWS
Can I also have pillows,PILLOWS,PILLOWS,PILLOWS,PILLOWS
Is pillows available,PILLOWS,PILLOWS,PILLOWS,PILLOWS
Offers,OFFERS,OFFERS,OFFERS,OFFERS
What are the available offers,OFFERS,OFFERS,OFFERS,OFFERS
Give me some discount,OFFERS,OFFERS,OFFERS,OFFERS
Any discounts,OFFERS,OFFERS,OFFERS,OFFERS
Discount,OFFERS,OFFERS,OFFERS,OFFERS
May I please know about the offers,OFFERS,OFFERS,OFFERS,OFFERS
Available offers,OFFERS,OFFERS,OFFERS,OFFERS
Is offer available,OFFERS,OFFERS,OFFERS,OFFERS
Want to know the discount ,OFFERS,OFFERS,OFFERS,OFFERS
Tell me about the latest offers,OFFERS,OFFERS,OFFERS,OFFERS
